,Time,User,Tweet
27,2022-03-20 05:15:31+00:00,KangarooTwins,"#TCS 
Bottoming out taking support at 3,390, gave a W breakout from 3,571 now forming another higher low.

With IT expected to run positive this week, TCS could rally from above 3,700. https://t.co/eC88iiM4Hy"
28,2022-03-20 04:34:31+00:00,Ramchander51,"RT @ViruPandey81: #stocks looking good for next week,
#TCS #LTI #LT https://t.co/Rco2qacS3W"
29,2022-03-20 04:33:45+00:00,uCloudify,"RT @anuran17: #TCS #Buybacks
Shares reserved for Retail=60,00,000
Entitlement Ratio=15%
So,Shares held by Retail (on record dt)=4 Cr
As of…"
30,2022-03-20 04:33:40+00:00,anuran17,"#TCS #Buybacks
Shares reserved for Retail=60,00,000
Entitlement Ratio=15%
So,Shares held by Retail (on record dt)=4 Cr
As of 20th Mar,Retail Bid: 
NSE=76,72,440
BSE=2,25,63,835
Total=3,02,36,275
Shares already tendered=75%
Still 3 days to go!
@Nigel__DSouza  
#StockMarket #Retail"
31,2022-03-20 04:33:27+00:00,Sandy17390803,"RT @NiftyBulls10x: 🏦Bank #HDFC
📈Exchange #IEX
💳Fintech #IntellectDesign
🚎EV #KPIT 
💊Pharma #LaurusLabs
🧪SpChemical #LaxmiOrganics
📦Packagin…"
32,2022-03-20 04:32:09+00:00,Codevisers,"RT @ViruPandey81: #stocks looking good for next week,
#TCS #LTI #LT https://t.co/Rco2qacS3W"
33,2022-03-20 04:29:59+00:00,ViruPandey81,"#stocks looking good for next week,
#TCS #LTI #LT https://t.co/Rco2qacS3W"
34,2022-03-20 04:27:30+00:00,NiftyBulls10x,"🏦Bank #HDFC
📈Exchange #IEX
💳Fintech #IntellectDesign
🚎EV #KPIT 
💊Pharma #LaurusLabs
🧪SpChemical #LaxmiOrganics
📦Packaging #MoldTek
🍥Wire #Polycab
🚿Pipe #PrincePipes
🚗Auto #SonaComs
⌨️CPaaS #Tanla
⚡️Power #TataPower
💪Dravid #TCS
🪙Luxury #Titan
🛵EV2W #WardWizard

(2/2)"
35,2022-03-20 04:11:56+00:00,JPR_saveworld,"Trend is #cashforplacement in all #Shippingcompanies at INDIA, which was transparent earlier. Now shipping companies are corrupted as much as Govt Office. If this trend goes then #wipro #tcs #ibm etc will take this trend. End this corruption now or make it legal #saveseafarers"
36,2022-03-20 04:01:23+00:00,ntdmagic,"RT @ntdmagic: This is only for positive people in life who want to do wealth generation #investing #Sips #Numerology , #Stockmarkets will h…"
37,2022-03-20 04:00:44+00:00,ntdmagic,"This is only for positive people in life who want to do wealth generation #investing #Sips #Numerology , #Stockmarkets will have its own journey #Reliance #Infy #hdfcbank #Hdfc #Icicibank #SBI #TCS 
These stocks have almost half weight on #nifty https://t.co/rajIJ5NCB7"
38,2022-03-20 03:54:48+00:00,VinayEquity,"https://t.co/Bz5AXHzRp7 to watch this video click link 
#stocks #Nifty #stockmarkets #StockMarket #StockMarketindia #tcs @YouTubeIndia https://t.co/WlhkkyLNGE"
39,2022-03-20 02:52:52+00:00,SpiritOfSeeman,"ராஜீவ்காந்தி நாம் தமிழர்க்கு திரும்ப வரவான்னு கேக்குற மாதிரி இருக்கு..?? 

#tcs https://t.co/ibAEWuCZOs"
40,2022-03-20 02:44:26+00:00,GunalanD3,"Damn what's wrong wit these founders 

"" Boost Productivity "" Uno

#tcs #Infosys #it #python #wfh #office https://t.co/RSZxNF5dBF"
41,2022-03-20 01:50:00+00:00,tokyo_c_s,"これ、結構いいです。

オリジナルのショッパーができました。会場の各店舗で、お渡しする予定です。再生素材で丈夫な袋にしましたので、再利用していただけたらうれしいです！

#東京クリエイティブサロン #TCS

↓会場ごとに色も違います↓ https://t.co/p0OXsz9LhQ"
42,2022-03-20 00:35:48+00:00,pythonalways,"RT @reachcsrini: @CustomerExpNews #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#…"
43,2022-03-20 00:02:40+00:00,KJK05551620,RT @EvitorialPage: If any #cci #tcs #eds people have suggestions im all ears.
44,2022-03-19 23:20:50+00:00,pythonalways,"RT @reachcsrini: @mitsmr #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#Deloitte…"
45,2022-03-19 23:18:07+00:00,pythonalways,"RT @reachcsrini: @Forbes #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#Deloitte…"
46,2022-03-19 23:13:00+00:00,andreu_bofarull,"RT @reachcsrini: @CNBC @CNBCMakeIt #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC…"
47,2022-03-19 23:10:22+00:00,pythonalways,"RT @reachcsrini: @CNBC @CNBCMakeIt #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC…"
48,2022-03-19 23:08:08+00:00,pythonalways,"RT @Tcs_Technology: #TCS is Powerful Software to manage hospital at their fingertips with cloud backup to secure the data.
More Details - h…"
49,2022-03-19 22:30:00+00:00,Cultura_DES,"#DeVida El empresario murió a los 93 años. En 1986, Eserski fundó #TCS.

📝https://t.co/xBvMz80g6J https://t.co/1QaWd0KZpO"
50,2022-03-19 21:03:05+00:00,HansLop53871788,RT @HDfan_: todos los logos de los canales de #TCS (Telecorporacion Salvadoreña) están en blanco y negro. 📺☹️ https://t.co/bQptyb1efV
51,2022-03-19 20:11:54+00:00,iamsaikirangv,"RT @DiscretePriti: @Loud_Speaker_3 #Trent
#TataMotors
#TataSteel
#TataCoffee
#TataConsumer
#Titan
#Tinplate
#Voltas
#TCS
#IndianHotel"
52,2022-03-19 18:30:16+00:00,DiscretePriti,"@Loud_Speaker_3 #Trent
#TataMotors
#TataSteel
#TataCoffee
#TataConsumer
#Titan
#Tinplate
#Voltas
#TCS
#IndianHotel"
53,2022-03-19 17:47:27+00:00,FinanceTilve,"RT @Raj_Ranga2002: #StocksOnRadar For Next Few Weeks ,Seems May Show Some Good Momentum

#MCX 
#IndHotel
#Infy
#Voltas
#Trent 
#Balkrishnai…"
54,2022-03-19 17:17:38+00:00,Siddhartha_Skr_,"পশ্চিমবঙ্গে এতো জমি তবু #TCS আবার জমি নিলো চেন্নাইতে! @tathagata2
জয় মামা টিমা নুষ!!!
আমার কি! বাংলার মানুষ তো ৫০০ ট্যাকা পেয়েই খুশি।।
#এগিয়ে_বাঙলা"
55,2022-03-19 16:07:08+00:00,EvitorialPage,If any #cci #tcs #eds people have suggestions im all ears.
56,2022-03-19 15:26:32+00:00,Mrinmoy89,#khansir #tcs #Infosys I think World Information Technology war(WIT war) will be start with in 2023.
57,2022-03-19 15:21:01+00:00,Maverick8976,@SpotalphaIndia #tcs
58,2022-03-19 15:07:08+00:00,buzzsubash,"RT @Raj_Ranga2002: #StocksOnRadar For Next Few Weeks ,Seems May Show Some Good Momentum

#MCX 
#IndHotel
#Infy
#Voltas
#Trent 
#Balkrishnai…"
59,2022-03-19 15:04:53+00:00,contra_punto,"📺 El que fuera presidente de #TelecorporaciónSalvadoreña (#TCS), socio fundador de #Asder y pionero de la industria de la televisión en El Salvador deja un legado incomparable en las comunicaciones de nuestro país.
Lea: 👇
https://t.co/OUGvaDtqK4"
